 ES1D    ES2D    ES3D    ES4D    ES5D    ES6D    ES7D    ES8D    ES9D  ES10D 
0.030   0.023   0.015   0.010   0.008   0.007   0.006   0.015   0.012   0.010
0.062   0.049   0.032   0.024   0.018   0.015   0.013   0.033   0.026   0.022
0.133   0.104   0.067   0.053   0.038   0.032   0.028   0.069   0.055   0.047
0.121   0.096   0.062   0.050   0.038   0.030   0.027   0.065   0.052   0.044
0.160   0.128   0.083   0.068   0.055   0.042   0.036   0.089   0.071   0.060
0.114   0.091   0.059   0.049   0.040   0.030   0.026   0.063   0.051   0.043
0.046   0.036   0.023   0.019   0.016   0.012   0.010   0.025   0.020   0.017
0.048   0.037   0.024   0.020   0.016   0.012   0.011   0.026   0.021   0.017
0.042   0.032   0.020   0.017   0.014   0.011   0.009   0.022   0.017   0.015
0.178   0.137   0.087   0.071   0.058   0.045   0.037   0.091   0.073   0.061
0.038   0.031   0.019   0.016   0.013   0.010   0.008   0.020   0.016   0.013
0.117   0.095   0.062   0.050   0.040   0.033   0.025   0.061   0.049   0.042
0.018   0.015   0.010   0.008   0.006   0.005   0.004   0.010   0.008   0.006
0.088   0.073   0.049   0.037   0.030   0.026   0.023   0.052   0.036   0.030
0.134   0.110   0.073   0.056   0.046   0.040   0.035   0.081   0.057   0.046
0.117   0.096   0.063   0.050   0.041   0.035   0.031   0.072   0.052   0.040
0.105   0.086   0.057   0.044   0.036   0.031   0.027   0.066   0.051   0.039
0.022   0.019   0.012   0.009   0.008   0.007   0.006   0.014   0.011   0.009
0.150   0.124   0.082   0.063   0.052   0.044   0.039   0.094   0.076   0.062
0.006   0.005   0.004   0.003   0.002   0.002   0.002   0.004   0.003   0.003
0.044   0.036   0.024   0.019   0.015   0.013   0.011   0.028   0.022   0.019
0.027   0.022   0.015   0.012   0.010   0.008   0.007   0.018   0.014   0.012
0.061   0.049   0.033   0.027   0.022   0.019   0.017   0.040   0.032   0.028
0.029   0.023   0.015   0.013   0.010   0.009   0.008   0.018   0.015   0.013
0.122   0.095   0.062   0.052   0.043   0.037   0.032   0.077   0.062   0.053
0.066   0.052   0.034   0.028   0.023   0.020   0.017   0.042   0.034   0.029
0.029   0.022   0.014   0.012   0.010   0.008   0.007   0.018   0.014   0.012
0.059   0.045   0.029   0.024   0.020   0.017   0.015   0.036   0.029   0.024
0.080   0.061   0.039   0.032   0.026   0.022   0.020   0.048   0.038   0.032
0.045   0.036   0.023   0.019   0.015   0.013   0.012   0.028   0.022   0.019
0.035   0.028   0.018   0.015   0.012   0.010   0.009   0.022   0.018   0.015
0.036   0.029   0.019   0.015   0.013   0.011   0.009   0.023   0.019   0.016
0.028   0.023   0.015   0.012   0.010   0.009   0.008   0.018   0.015   0.012
0.079   0.063   0.041   0.034   0.028   0.024   0.021   0.052   0.041   0.035
0.074   0.059   0.039   0.032   0.026   0.023   0.020   0.049   0.039   0.033
0.061   0.050   0.032   0.027   0.022   0.019   0.017   0.041   0.032   0.027
0.056   0.046   0.030   0.025   0.020   0.017   0.015   0.037   0.030   0.025
0.013   0.011   0.007   0.006   0.005   0.004   0.004   0.009   0.007   0.006
0.047   0.037   0.024   0.020   0.017   0.014   0.013   0.031   0.025   0.021
0.044   0.035   0.022   0.018   0.015   0.013   0.011   0.027   0.022   0.018
0.055   0.045   0.028   0.022   0.018   0.015   0.013   0.033   0.026   0.022
0.009   0.008   0.005   0.004   0.003   0.003   0.002   0.005   0.004   0.004
0.082   0.066   0.042   0.035   0.028   0.024   0.021   0.051   0.041   0.034
0.063   0.050   0.033   0.027   0.022   0.019   0.016   0.040   0.032   0.027
