*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.010 -develop  JUL 08, 2024 16:11:18

*RUN   1        : 0 KG N/HA                 CSCER048 RORO7401    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : RORO7401 WH N RESPONSE,ROTHAMSTED  8FE(N)  (DSSAT3)
 DATA PATH      : C:\DSSAT48\Wheat\
 TREATMENT  1   : 0 KG N/HA                 CSCER048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                                   Nitrification (g[N]/ha) by soil depth (cm):                                     N2O flux (g[N]/ha) by soil depth (cm):                                          N2 flux (g[N]/ha) by soil depth (cm):                                           NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NDN10   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   NIT10   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2O10   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   N2F10   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   NOF10
 1974 305     1    0.00    0.00    0.00    0.00     3.1   0.000   0.003   0.000   0.007     0.0     0.0     0.0     0.0    3064    0.00    3.06    0.00    6.84     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0      7.    112.    201.    367.    376.    257.    263.    821.    433.    227.     0.0     0.1     0.2     0.4     0.4     0.3     0.3     0.8     0.4     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.7     0.8     0.8     0.5     0.6     1.7     0.9     0.5
 1974 306     2    0.00    0.00    0.00    0.00     5.8   0.000   0.006   0.000   0.011     0.0     0.0     0.0     0.0    2777    0.00    2.78    0.00    4.27     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     34.    120.    176.    331.    338.    230.    235.    731.    383.    199.     0.0     0.1     0.2     0.3     0.3     0.2     0.2     0.7     0.4     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.3     0.3     0.5     0.5     0.3     0.3     1.0     0.5     0.3
 1974 307     3    0.00    0.00    0.00    0.00     8.5   0.000   0.008   0.000   0.014     0.0     0.0     0.1     0.0    2637    0.00    2.64    0.00    2.94     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     45.    140.    177.    313.    319.    216.    219.    676.    350.    181.     0.0     0.1     0.2     0.3     0.3     0.2     0.2     0.7     0.4     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.3     0.2     0.3     0.3     0.2     0.2     0.7     0.3     0.2
 1974 308     4    0.00    0.00    0.00    0.00    10.7   0.000   0.011   0.000   0.016     0.0     0.0     0.1     0.0    2244    0.00    2.24    0.00    2.08     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     38.    129.    172.     92.    299.    202.    204.    624.    320.    164.     0.0     0.1     0.2     0.1     0.3     0.2     0.2     0.6     0.3     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.2     0.2     0.1     0.3     0.2     0.2     0.5     0.3     0.1
 1974 309     5    0.00    0.00    0.00    0.00    12.8   0.000   0.013   0.000   0.018     0.1     0.0     0.2     0.0    2121    0.00    2.12    0.00    2.33     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     56.    152.    185.     97.    273.    183.    184.    561.    285.    145.     0.1     0.2     0.2     0.1     0.3     0.2     0.2     0.6     0.3     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.4     0.3     0.1     0.2     0.2     0.2     0.5     0.2     0.1
 1974 310     6    0.00    0.00    0.00    0.00    14.8   0.000   0.015   0.000   0.021     0.1     0.0     0.4     0.0    1994    0.00    1.99    0.00    2.52     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     66.    162.    189.     99.    251.    167.    168.    508.    256.    129.     0.1     0.2     0.2     0.1     0.3     0.2     0.2     0.5     0.3     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.5     0.3     0.1     0.2     0.1     0.1     0.4     0.2     0.1
 1974 311     7    0.00    0.00    0.00    0.00    16.5   0.000   0.016   0.000   0.023     0.2     0.0     0.4     0.0    1662    0.00    1.66    0.00    2.23     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     62.    157.    181.     96.     76.    150.    150.    451.    225.    114.     0.1     0.2     0.2     0.1     0.1     0.1     0.1     0.5     0.2     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.5     0.3     0.1     0.1     0.1     0.1     0.4     0.2     0.1
 1974 312     8    0.00    0.00    0.00    0.01    18.0   0.001   0.018   0.007   0.029     0.3     0.7     0.9     8.2    1473    1.27    1.47    6.95    5.30     4.2     1.6     1.0     1.4     0.0     0.0     0.0     0.0     0.0     0.0     46.    143.    167.     92.     73.    131.    132.    395.    196.     99.     0.7     0.4     0.3     0.3     0.1     0.1     0.1     0.4     0.2     0.1     3.6     1.4     0.9     1.2     0.0     0.0     0.0     0.0     0.0     0.0     2.3     1.3     0.6     0.2     0.1     0.1     0.1     0.3     0.2     0.1
 1974 313     9    0.00    0.00    0.00    0.02    19.3   0.002   0.019   0.013   0.033     0.4     1.1     1.3     7.1    1351    1.11    1.35    5.94    4.81     2.7     1.6     1.1     1.6     0.0     0.0     0.0     0.0     0.0     0.0     51.    136.    159.     90.     71.    117.    117.    351.    173.     87.     0.4     0.4     0.4     0.4     0.1     0.1     0.1     0.4     0.2     0.1     2.3     1.3     1.0     1.4     0.0     0.0     0.0     0.0     0.0     0.0     1.9     1.2     0.6     0.3     0.1     0.1     0.1     0.3     0.1     0.1
 1974 314    10    0.00    0.00    0.00    0.03    20.6   0.005   0.021   0.026   0.040     0.5     1.9     1.4    15.6    1240    2.41    1.24   13.18    6.32     7.4     3.7     2.0     2.5     0.0     0.0     0.0     0.0     0.0     0.0     32.    126.    152.     89.     71.    108.    108.    320.    156.     78.     1.1     0.7     0.5     0.5     0.1     0.1     0.1     0.3     0.2     0.1     6.3     3.1     1.7     2.1     0.0     0.0     0.0     0.0     0.0     0.0     2.5     1.9     0.8     0.4     0.1     0.1     0.1     0.3     0.1     0.1
