*SOIL WATER BY LAYER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.8.5.021 -develop  JUL 11, 2025 15:07:12

!----------------------------
! Variable Descriptions (unit)
!----------------------------
!YEAR    Year of current date of simulation (YYYY)
!DOY     Day of year (d)
!DAS     Days after start of simulation (d)
!LL#D    Volumetric soil water content at Lower Limit in soil layer # (cm3 [water] / cm3 [soil])
!DUL#D   Volumetric soil water content at Drained Upper Limit in soil layer # (cm3[water]/cm3[soil])
!SAT#D   Volumetric soil water content at Saturation in soil layer # (cm3 [water] / cm3 [soil])
!BD#D    Bulk density in soil layer # (g [soil] / cm3 [soil])
!SW#D    Volumetric soil water content in soil layer #  (cm3 [water] / cm3 [soil])

!                    0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS     LL1D    LL2D    LL3D    LL4D    LL5D    LL6D    LL7D    LL8D    LL9D   DUL1D   DUL2D   DUL3D   DUL4D   DUL5D   DUL6D   DUL7D   DUL8D   DUL9D   SAT1D   SAT2D   SAT3D   SAT4D   SAT5D   SAT6D   SAT7D   SAT8D   SAT9D    BD1D    BD2D    BD3D    BD4D    BD5D    BD6D    BD7D    BD8D    BD9D    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 1982 056     1   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0796  0.0856  0.0859  0.0860  0.0860  0.0760  0.0760  0.1300  0.2580
 1982 057     2   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0737  0.0852  0.0859  0.0859  0.0860  0.0760  0.0760  0.1300  0.2580
 1982 058     3   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0683  0.0848  0.0858  0.0859  0.0860  0.0760  0.0760  0.1300  0.2580
 1982 059     4   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0633  0.0845  0.0857  0.0859  0.0859  0.0760  0.0760  0.1300  0.2580
 1982 060     5   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0588  0.0841  0.0856  0.0859  0.0859  0.0760  0.0760  0.1300  0.2580
 1982 061     6   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0546  0.0837  0.0856  0.0858  0.0859  0.0760  0.0760  0.1300  0.2580
 1982 062     7   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.0507  0.0833  0.0855  0.0858  0.0859  0.0760  0.0760  0.1300  0.2580
 1982 063     8   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.1388  0.1082  0.0950  0.0917  0.0895  0.0795  0.0753  0.1290  0.2562
 1982 064     9   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.1430  0.1184  0.1031  0.0991  0.0956  0.0886  0.0750  0.1285  0.2555
 1982 065    10   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.1390  0.1323  0.1342  0.1349  0.1352  0.1067  0.0956  0.1327  0.2582
 1982 066    11   0.0260  0.0250  0.0250  0.0250  0.0250  0.0280  0.0280  0.0290  0.0700  0.0960  0.0860  0.0860  0.0860  0.0860  0.0900  0.0900  0.1300  0.2580  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.2300  0.3600  1.3000  1.3000  1.4000  1.4000  1.4000  1.4500  1.4500  1.4500  1.2000  0.1417  0.1329  0.1316  0.1327  0.1334  0.1109  0.1055  0.1408  0.2645
