ES1D,ES2D,ES3D,ES4D,ES5D,ES6D,ES7D,ES8D,ES9D,ES10D
0.137,0,0,0,0,0,0,0,0,0
0.297,0,0,0,0,0,0,0,0,0
0.629,0,0,0,0,0,0,0,0,0
0.585,0,0,0,0,0,0,0,0,0
0.792,0,0,0,0,0,0,0,0,0
0.564,0,0,0,0,0,0,0,0,0
0.223,0,0,0,0,0,0,0,0,0
0.23,0,0,0,0,0,0,0,0,0
0.196,0,0,0,0,0,0,0,0,0
0.827,0,0,0,0,0,0,0,0,0
0.181,0,0,0,0,0,0,0,0,0
0.564,0,0,0,0,0,0,0,0,0
0.088,0,0,0,0,0,0,0,0,0
0.43,0,0.003,0.001,0,0,0,0,0,0
0.662,0,0.004,0.002,0.001,0,0,0,0,0
0.584,0,0.004,0.002,0.001,0,0,0,0,0
0.528,0,0.005,0.003,0.001,0,0,0,0,0
0.114,0,0.001,0.001,0,0,0,0,0,0
0.665,0,0.006,0.004,0.002,0,0,0,0,0
0.032,0,0,0,0,0,0,0,0,0
0.225,0,0.003,0.002,0.001,0,0,0,0,0
0.141,0,0.001,0.001,0,0,0,0,0,0
0.325,0,0.003,0.002,0.001,0,0,0,0,0
0.151,0,0.001,0.001,0,0,0,0,0,0
0.523,0,0.004,0.002,0.001,0,0,0,0,0
0.343,0,0.003,0.001,0.001,0,0,0,0,0
0.148,0,0.001,0.001,0,0,0,0,0,0
0.297,0,0.003,0.001,0.001,0,0,0,0,0
0.396,0,0.004,0.002,0.001,0,0,0,0,0
0.23,0,0.002,0.001,0,0,0,0,0,0
0.181,0,0.002,0.001,0,0,0,0,0,0
0.191,0,0.002,0.001,0,0,0,0,0,0
0.151,0,0.001,0.001,0,0,0,0,0,0
0.297,0,0.002,0.001,0,0,0,0,0,0
0.269,0,0.002,0.001,0,0,0,0,0,0
0.245,0,0.002,0.001,0,0,0,0,0,0
0.222,0,0.002,0.001,0,0,0,0,0,0
0.073,0,0.001,0,0,0,0,0,0,0
0.195,0,0.002,0.001,0,0,0,0,0,0
0.177,0,0.003,0.001,0,0,0,0,0,0
0.161,0,0.004,0.002,0.001,0,0,0,0,0
0.046,0,0.001,0.001,0,0,0,0,0,0
0.142,0,0.004,0.002,0.001,0,0,0,0,0
0.128,0,0.003,0.002,0.001,0,0,0,0,0
0.117,0,0.003,0.002,0.001,0,0,0,0,0
0.033,0,0.001,0,0,0,0,0,0,0
0.103,0,0.003,0.001,0,0,0,0,0,0
0.093,0,0.002,0.001,0,0,0,0,0,0
0.085,0,0.002,0.001,0,0,0,0,0,0
0.077,0.005,0.002,0.001,0,0,0,0,0,0
0.037,0.016,0.001,0.001,0,0,0,0,0,0
0.067,0.046,0.003,0.001,0,0,0,0,0,0
